TAIR10,TAIR10 description,LF - Bo,,MF1 - Bo,MF2 - Bo
AT1G34430,EMB3003 (embryo defective 3003); acyltransferase/ dihydrolipoyllysine-residue acetyltransferase/ protein binding,Bo6g082700,,-,-
AT1G34440,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G34460,CYCB1;5 (CYCLIN B1;5); cyclin-dependent protein kinase regulator,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G34470,permease-related,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G34480,DC1 domain-containing protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G34490,membrane bound O-acyl transferase (MBOAT) family protein / wax synthase-related,-,,-,-
AT1G34500,membrane bound O-acyl transferase (MBOAT) family protein / wax synthase-related,na ,,na ,na 
AT1G34510,peroxidase putative,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G34520,long-chain-alcohol O-fatty-acyltransferase family protein / wax synthase family protein,na ,,na ,na 
AT1G34530,transposable element gene,na ,,na ,na 
AT1G34540,CYP94D1; electron carrier/ heme binding / iron ion binding / monooxygenase/ oxygen binding,-,,-,-
AT1G34545,transposable element gene,na ,,na ,na 
AT1G34550,EMB2756 (EMBRYO DEFECTIVE 2756),Bo6g082710;Bo6g082730,,Bo8g026940,-
AT1G34560,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G34570,unknown protein,na ,,na ,na 
AT1G34575,FAD-binding domain-containing protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G34580,monosaccharide transporter putative,-,,Bo8g026890,-
AT1G34590,transposable element gene,na ,,na ,na 
AT1G34600,transposable element gene,na ,,na ,na 
AT1G34610,transposable element gene,na ,,na ,na 
AT1G34620,transposable element gene,na ,,na ,na 
AT1G34630,unknown protein,Bo6g082740,,-,Bo5g085380
AT1G34640,unknown protein,-,,-,Bo5g085350
AT1G34650,HDG10 (HOMEODOMAIN GLABROUS 10); DNA binding / transcription factor,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G34660,transposable element gene,na ,,na ,na 
AT1G34670,AtMYB93 (myb domain protein 93); DNA binding / transcription factor,Bo6g082760,,-,-
AT1G34680,pseudogene ribosomal maturase blastp match of 66% identity and 1.8e-18 P-value to GP|12002339|gb|AAG43301.1|AF144332_1|AF144332 maturase K {Arabis lyallii},na ,,na ,na 
AT1G34690,pseudogene putative maturase blastp match of 75% identity and 2.2e-25 P-value to SP|Q9GF62|MATK_BARVU Maturase K (Intron maturase). (Yellow rocket) {Barbarea vulgaris},na ,,na ,na 
AT1G34700,transposable element gene,na ,,na ,na 
AT1G34710,transposable element gene,na ,,na ,na 
AT1G34720,transposable element gene,na ,,na ,na 
AT1G34730,transposable element gene,na ,,na ,na 
AT1G34740,transposable element gene,na ,,na ,na 
AT1G34750,protein phosphatase 2C putative / PP2C putative,Bo6g082790,,-,Bo5g085300
AT1G34760,GRF11 (GENERAL REGULATORY FACTOR 11); ATPase binding / amino acid binding / protein binding / protein phosphorylated amino acid binding,na ,,na ,na 
AT1G34770,MAGE-8 antigen-related,-,,-,-
AT1G34780,ATAPRL4 (APR-like 4),-,,Bo8g026880,Bo5g085290
AT1G34790,TT1 (transparent testa 1); transcription factor,Bo6g082820,,-,-
AT1G34792,Encodes a Plant thionin family protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G34795,Encodes a Plant thionin family protein,na ,,na ,na 
AT1G34797,Pseudogene of AT1G34790; TT1 (TRANSPARENT TESTA 1); transcription factor,na ,,na ,na 
AT1G34800,Encodes a Plant thionin family protein,na ,,na ,na 
AT1G34803,Pseudogene of AT1G34790; TT1 (TRANSPARENT TESTA 1); transcription factor,na ,,na ,na 
AT1G34805,Encodes a Plant thionin family protein,na ,,na ,na 
AT1G34808,Pseudogene of AT1G34790; TT1 (TRANSPARENT TESTA 1); transcription factor,na ,,na ,na 
AT1G34810,Encodes a Plant thionin family protein,na ,,na ,na 
AT1G34813,Pseudogene of AT1G34790; TT1 (TRANSPARENT TESTA 1); transcription factor,na ,,na ,na 
AT1G34815,Encodes a Plant thionin family protein,na ,,na ,na 
AT1G34818,Pseudogene of AT1G34790; TT1 (TRANSPARENT TESTA 1); transcription factor,na ,,na ,na 
AT1G34820,Encodes a Plant thionin family protein,na ,,na ,na 
AT1G34823,Pseudogene of AT1G34790; TT1 (TRANSPARENT TESTA 1); transcription factor,na ,,na ,na 
AT1G34825,Encodes a Plant thionin family protein,na ,,na ,na 
AT1G34828,Pseudogene of AT1G34790; TT1 (TRANSPARENT TESTA 1); transcription factor,na ,,na ,na 
AT1G34830,Encodes a Plant thionin family protein,na ,,na ,na 
AT1G34836,Pseudogene of AT1G34790; TT1 (TRANSPARENT TESTA 1); transcription factor,na ,,na ,na 
AT1G34840,Encodes a Plant thionin family protein,na ,,na ,na 
AT1G34842,transposable element gene,na ,,na ,na 
AT1G34844,other RNA,na ,,na ,na 
AT1G34850,Encodes a Plant thionin family protein,na ,,na ,na 
AT1G34860,Encodes a Plant thionin family protein,na ,,na ,na 
AT1G34904,transposable element gene,na ,,na ,na 
AT1G34910,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G34930,Encodes a Plant thionin family protein,na ,,na ,na 
AT1G34967,transposable element gene,na ,,na ,na 
AT1G35030,unknown protein,na ,,na ,na 
AT1G35035,Encodes a Plant thionin family protein,na ,,na ,na 
AT1G35040,unknown protein,na ,,na ,na 
AT1G35050,transposable element gene,na ,,na ,na 
AT1G35060,transposable element gene,na ,,na ,na 
AT1G35080,transposable element gene,na ,,na ,na 
AT1G35090,transposable element gene,na ,,na ,na 
AT1G35100,transposable element gene,na ,,na ,na 
AT1G35110,transposable element gene,na ,,na ,na 
AT1G35112,transposable element gene,na ,,na ,na 
AT1G35115,transposable element gene,na ,,na ,na 
AT1G35120,transposable element gene,na ,,na ,na 
AT1G35130,transposable element gene,na ,,na ,na 
AT1G35140,PHI-1 (PHOSPHATE-INDUCED 1),no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G35143,transposable element gene,na ,,na ,na 
AT1G35146,transposable element gene,na ,,na ,na 
AT1G35150,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; BEST Arabidopsis thaliana protein match is: hAT dimerisation domain-containing protein / transposase-related (TAIR:AT2G06500.1); Has 212 Blast hits to 190 proteins in 23 species: Archae - 0; Bacteria - 0; Metazoa - 116; Fungi - 0; Plants - 96; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,-,,-,Bo5g086530
AT1G35160,GF14 PHI (GF14 PROTEIN PHI CHAIN); protein binding / protein phosphorylated amino acid binding,na ,,na ,na 
AT1G35170,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: integral to membrane; CONTAINS InterPro DOMAIN/s: TRAM LAG1 and CLN8 homology (InterPro:IPR006634); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G35180.1); Has 92 Blast hits to 92 proteins in 36 species: Archae - 0; Bacteria - 0; Metazoa - 40; Fungi - 2; Plants - 25; Viruses - 0; Other Eukaryotes - 25 (source: NCBI BLink).,-,,-,Bo5g085240
AT1G35180,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: integral to membrane; CONTAINS InterPro DOMAIN/s: TRAM LAG1 and CLN8 homology (InterPro:IPR006634); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G35170.1); Has 128 Blast hits to 128 proteins in 42 species: Archae - 0; Bacteria - 0; Metazoa - 49; Fungi - 4; Plants - 41; Viruses - 3; Other Eukaryotes - 31 (source: NCBI BLink).,na ,,na ,na 
AT1G35181,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G35183,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G35186,transposable element gene,na ,,na ,na 
AT1G35190,oxidoreductase 2OG-Fe(II) oxygenase family protein,-,,-,Bo5g085200
AT1G35200,60S ribosomal protein L4/L1 (RPL4B) pseudogene similar to 60S ribosomal protein L4 (fragment) GB:P49691 from (Arabidopsis thaliana); blastp match of 50% identity and 6.3e-17 P-value to SP|Q9XF97|RL4_PRUAR 60S ribosomal protein L4 (L1). (Apricot) {Prunus armeniaca},na ,,na ,na 
AT1G35210,unknown protein,-,,-,Bo5g085180
AT1G35220,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G35230,AGP5 (ARABINOGALACTAN-PROTEIN 5),no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G35240,ARF20 (AUXIN RESPONSE FACTOR 20); transcription factor,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G35242,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G35250,thioesterase family protein,-,,-,-
AT1G35255,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G35260,MLP165 (MLP-LIKE PROTEIN 165),no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G35270,pseudogene hypothetical protein,na ,,na ,na 
AT1G35280,transposable element gene,na ,,na ,na 
AT1G35290,thioesterase family protein,na ,,na ,na 
AT1G35300,transposable element gene,na ,,na ,na 
AT1G35310,MLP168 (MLP-LIKE PROTEIN 168),na ,,na ,na 
AT1G35320,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G35330,zinc finger (C3HC4-type RING finger) family protein,Bo6g083080,,-,-
AT1G35333,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G35340,ATP-dependent protease La (LON) domain-containing protein,Bo6g083120,,-,-
AT1G35350,LOCATED IN: integral to membrane; EXPRESSED IN: 18 plant structures; EXPRESSED DURING: 9 growth stages; CONTAINS InterPro DOMAIN/s: EXS C-terminal (InterPro:IPR004342) SPX N-terminal (InterPro:IPR004331); BEST Arabidopsis thaliana protein match is: EXS family protein / ERD1/XPR1/SYG1 family protein (TAIR:AT1G26730.1); Has 734 Blast hits to 697 proteins in 158 species: Archae - 0; Bacteria - 21; Metazoa - 234; Fungi - 245; Plants - 125; Viruses - 0; Other Eukaryotes - 109 (source: NCBI BLink).,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G35360,transposable element gene,na ,,na ,na 
AT1G35365,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G35370,transposable element gene,na ,,na ,na 
AT1G35375,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G35380,transposable element gene,na ,,na ,na 
AT1G35390,transposable element gene,na ,,na ,na 
AT1G35400,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF1184 (InterPro:IPR009568) Uncharacterised conserved protein UCP031143 (InterPro:IPR016970); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G35410.1); Has 12 Blast hits to 10 proteins in 1 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 12; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,na ,,na ,na 
AT1G35405,transposable element gene,na ,,na ,na 
AT1G35410,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: stem leaf whorl flower; EXPRESSED DURING: 4 anthesis; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF1184 (InterPro:IPR009568) Uncharacterised conserved protein UCP031143 (InterPro:IPR016970); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G35400.1); Has 10 Blast hits to 10 proteins in 1 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 10; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,na ,,na ,na 
AT1G35420,dienelactone hydrolase family protein,-,,-,-
AT1G35430,unknown protein,-,,-,-
AT1G35435,Encodes a defensin-like (DEFL) family protein.,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G35440,CYCT1;1 (CYCLIN T1;1); cyclin-dependent protein kinase,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G35450,pseudogene similar to oj991113_30.20 similar to from GI:976278 (Arabidopsis thaliana); blastp match of 24% identity and 2.9e-11 P-value to GP|21741715|emb|CAD41338.1||AL662946 oj991113_30.20 {Oryza sativa (japonica cultivar-group)},na ,,na ,na 
AT1G35460,basic helix-loop-helix (bHLH) family protein,-,,Bo8g026850,Bo5g085170
AT1G35461,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G35465,transposable element gene,na ,,na ,na 
AT1G35467,RALFL5 (RALF-LIKE 5); signal transducer,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G35470,SPla/RYanodine receptor (SPRY) domain-containing protein,-,,-,Bo5g085160
AT1G35480,transposable element gene,na ,,na ,na 
AT1G35490,bZIP family transcription factor,-,,-,-
AT1G35500,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G35501,MIR773a; miRNA,na ,,na ,na 
AT1G35510,unknown protein,-,,-,-
AT1G35513,pseudogene of isochorismate synthase-related / isochorismate mutase-related,na ,,na ,na 
AT1G35515,HOS10 (HIGH RESPONSE TO OSMOTIC STRESS 10); DNA binding / transcription regulator,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G35516,CONTAINS InterPro DOMAIN/s: Myb transcription factor (InterPro:IPR015495); Has 12 Blast hits to 12 proteins in 1 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 12; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G35520,ARF15 (AUXIN RESPONSE FACTOR 15); transcription factor,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G35530,DEAD/DEAH box helicase putative,-,,-,Bo5g085100
AT1G35535,transposable element gene,na ,,na ,na 
AT1G35537,Encodes a defensin-like (DEFL) family protein.,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G35540,ARF14 (AUXIN RESPONSE FACTOR 14); transcription factor,na ,,na ,na 
AT1G35545,other RNA,na ,,na ,na 
AT1G35550,elongation factor Tu C-terminal domain-containing protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G35560,TCP family transcription factor putative,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G35570,transposable element gene,na ,,na ,na 
AT1G35580,CINV1 (cytosolic invertase 1); beta-fructofuranosidase,-,,Bo8g026840,Bo5g085060
AT1G35590,transposable element gene,na ,,na ,na 
AT1G35600,transposable element gene,na ,,na ,na 
AT1G35610,DC1 domain-containing protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G35612,transposable element gene,na ,,na ,na 
AT1G35614,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G35617,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G35620,ATPDIL5-2 (PDI-LIKE 5-2); protein disulfide isomerase,-,,-,-
AT1G35625,peptidase/ protein binding / zinc ion binding,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G35630,protease-associated zinc finger (C3HC4-type RING finger) family protein,na ,,na ,na 
AT1G35640,transposable element gene,na ,,na ,na 
AT1G35645,transposable element gene,na ,,na ,na 
AT1G35647,transposable element gene,na ,,na ,na 
AT1G35650,transposable element gene,na ,,na ,na 
AT1G35660,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G35663,transposable element gene,na ,,na ,na 
AT1G35670,ATCDPK2 (CALCIUM-DEPENDENT PROTEIN KINASE 2); calmodulin-dependent protein kinase/ kinase,-,,-,-
AT1G35680,50S ribosomal protein L21 chloroplast / CL21 (RPL21),-,,Bo8g025780,-
AT1G35690,transposable element gene,na ,,na ,na 
AT1G35700,pseudogene putative ubiquitin-conjugating enzyme similar to ubiquitin-conjugating enzyme GB:CAB40394 GI:4583656 from (Guillardia theta); blastp match of 61% identity and 1.6e-34 P-value to GP|12580660|emb|CAC26977.1||AJ010592 ubiquitin conjugating enzyme {Guillardia theta},na ,,na ,na 
AT1G35710,leucine-rich repeat transmembrane protein kinase putative,-,,-,-
AT1G35720,ANNAT1 (ANNEXIN ARABIDOPSIS 1); ATP binding / calcium ion binding / calcium-dependent phospholipid binding / copper ion binding / peroxidase/ protein homodimerization,-,,Bo8g025760,-
AT1G35730,APUM9 (Arabidopsis Pumilio 9); RNA binding / binding,Bo6g082470,,-,-
AT1G35735,transposable element gene,na ,,na ,na 
AT1G35740,pseudogene similar to putative beta-13-glucan synthase blastp match of 57% identity and 2.1e-14 P-value to GP|23503034|gb|AAK49452.2|AF304372_1|AF304372 putative beta-13-glucan synthase {Nicotiana alata},na ,,na ,na 
AT1G35745,transposable element gene,na ,,na ,na 
AT1G35750,APUM10 (Arabidopsis Pumilio 10); RNA binding / binding,na ,,na ,na 
AT1G35760,transposable element gene,na ,,na ,na 
AT1G35770,transposable element gene,na ,,na ,na 
AT1G35780,unknown protein,-,,-,-
AT1G35790,transposable element gene,na ,,na ,na 
AT1G35820,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G35830,VQ motif-containing protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G35840,transposable element gene,na ,,na ,na 
AT1G35850,APUM17 (Arabidopsis Pumilio 17); RNA binding / binding,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G35860,TOC75-I (translocon outer membrane complex 75-I),no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
